,knn_0.0,knn_0.05,knn_0.1,knn_0.15,knn_0.2,knn_0.25,knn_0.3,knn_0.35,knn_0.4,knn_0.45,knn_0.5,knn_0.55,knn_0.6,knn_0.65,knn_0.7,knn_0.75,knn_0.8,knn_0.85,knn_0.9,knn_1.0,knn_0.95,mix_0.0,mix_0.05,mix_0.1,mix_0.15,mix_0.2,mix_0.25,mix_0.3,mix_0.35,mix_0.4,mix_0.45,mix_0.5,mix_0.55,mix_0.6,mix_0.65,mix_0.7,mix_0.75,mix_0.8,mix_0.85,mix_0.9,mix_1.0,mix_0.95,naive-bayes_0.0,naive-bayes_0.05,naive-bayes_0.1,naive-bayes_0.15,naive-bayes_0.2,naive-bayes_0.25,naive-bayes_0.3,naive-bayes_0.35,naive-bayes_0.4,naive-bayes_0.45,naive-bayes_0.5,naive-bayes_0.55,naive-bayes_0.6,naive-bayes_0.65,naive-bayes_0.7,naive-bayes_0.75,naive-bayes_0.8,naive-bayes_0.85,naive-bayes_0.9,naive-bayes_1.0,naive-bayes_0.95,perceptron_0.0,perceptron_0.1,perceptron_0.2,perceptron_0.4,perceptron_0.5,perceptron_0.8,perceptron_0.9,perceptron_1.0,perceptron_0.05,perceptron_0.15,perceptron_0.25,perceptron_0.3,perceptron_0.35,perceptron_0.45,perceptron_0.55,perceptron_0.6,perceptron_0.65,perceptron_0.7,perceptron_0.75,perceptron_0.85,perceptron_0.95,tree_0.0,tree_0.1,tree_0.2,tree_0.4,tree_0.5,tree_0.8,tree_0.9,tree_1.0,tree_0.05,tree_0.15,tree_0.25,tree_0.3,tree_0.35,tree_0.45,tree_0.55,tree_0.6,tree_0.65,tree_0.7,tree_0.75,tree_0.85,tree_0.95
naive-bayes_0.2,0.9,0.9,0.9,0.9,0.9,0.8706664115848882,0.9,0.578297102485859,0.8706664115848882,0.6448762245173849,0.9,0.8011950661429347,0.8851418387538929,0.8446138984398853,0.9,0.7838253055131299,0.9,0.9,0.9,0.9,0.9,0.011897420115817292,0.05611873276950763,0.0018642773515961109,0.014918351802247543,0.008145819818396682,0.003754957938559067,0.003318699001528036,0.005146207285119608,0.011705578103886394,0.0022782449254390436,0.004719196262088721,0.007239791507314797,0.007119807078012963,0.002236596482361186,0.015901368232272173,0.06295433618071733,0.08047365387023675,0.1035725628039822,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.002584369530544972,0.001,0.0024947080606810834,0.08047365387023675,0.5261915954512633,0.9,0.001,0.0011136426093518725,0.002360751196501476,0.001,0.001245711401288041,0.001,0.003959844836653792,0.003959844836653792,0.002043338215440893,0.0018990543594269438,0.0016710184544351803,0.030695899338254784,0.6159283432003918
naive-bayes_0.25,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7056648544996498,0.9,0.7722459535377131,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.02371682961081567,0.09941685750108276,0.004103664650245031,0.029330657716829522,0.016674654336855332,0.008009207850179001,0.007119807078012963,0.010780929329079703,0.023369244355784358,0.0049689621451534105,0.009929052565321617,0.014918351802247543,0.014683402129721634,0.004883203867110941,0.03116388038343887,0.11079637840552714,0.13561697850804078,0.17499795066685953,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.0056092441882181765,0.0013379108026876363,0.005418303061155427,0.13561697850804078,0.6535617675315083,0.9,0.001,0.0024947080606810834,0.005146207285119497,0.0014983126178056416,0.0027755243376706984,0.0013379108026876363,0.008422259901232909,0.008422259901232909,0.004477310979233318,0.004174731396224707,0.0036894225115567947,0.05776605673899693,0.7432997644963121
naive-bayes_0.3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7838253055131298,0.9,0.8504062256672009,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.03563897028442842,0.1373423700297468,0.006542119780502675,0.04358861803923608,0.02516468721705034,0.012494469625871085,0.011142693334659004,0.01667465433685522,0.035119452014007235,0.007878287126839356,0.015401885017993666,0.022682901899024666,0.022345605606103436,0.007748211435943508,0.04607008438449489,0.15196955567272363,0.18556798410100328,0.23305416634775356,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.008850588755286326,0.0021977132424499946,0.008561315446066642,0.18556798410100328,0.7317202572627437,0.9,0.001,0.0040304337141156,0.008145819818396682,0.002448512686961224,0.004477310979233318,0.0021977132424499946,0.013117095149688396,0.013117095149688396,0.007119807078012852,0.00665466183529928,0.005904589753412459,0.08360700441192181,0.8214568969871834
naive-bayes_0.35,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8214568969871834,0.9,0.8880370017908371,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.04298346512463436,0.1614065307358904,0.008145819818396571,0.052183744642389285,0.030695899338254784,0.015401885017993666,0.013769191445738183,0.020403316748342726,0.04238295395778835,0.009768811339244232,0.01889341351746776,0.027596460581693738,0.027175904980629162,0.009609377608800096,0.055308849601542254,0.1754070969352306,0.21430219215132817,0.26546127703006517,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001033381707405412,0.001,0.010960167081174865,0.0027755243376706984,0.010605567957723383,0.21430219215132817,0.7693511306586533,0.9,0.001,0.005057597683825521,0.010095042295449663,0.0030897394405627887,0.0056092441882181765,0.0027755243376706984,0.016154696966338755,0.016154696966338755,0.008850588755285993,0.0082825477231111,0.007366338597241451,0.09673255932868763,0.859088311101132
naive-bayes_0.4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8735610596656,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.055308849601537924,0.1962691060484345,0.010960167081174865,0.06754860992191558,0.04003792983306931,0.020403316748342615,0.018313686239223803,0.026761942839083064,0.054514386241432566,0.013117095149688396,0.02479060714087189,0.0361679355825002,0.03563897028442842,0.01290619977395302,0.07138828544118081,0.21430219215133017,0.2574551522277879,0.31511359407198924,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.001442904517139576,0.001245711401288041,0.014683402129721634,0.003822823066199188,0.01421951014836409,0.2574551522277879,0.8214568969871834,0.9,0.001,0.006885725585252578,0.013549622935598249,0.004250235581906403,0.007616343767625544,0.003822823066199188,0.02135701682430291,0.02135701682430291,0.011897420115817292,0.011142693334659004,0.009929052565321395,0.1229242676153105,0.9
naive-bayes_0.45,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8996153550416568,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.06295433618078894,0.2166156007931288,0.012697435915652533,0.07636913954616231,0.0454407689111358,0.023369244355783025,0.021034748799448,0.030695899338254784,0.06206220111995231,0.015161398523408254,0.028452512092759008,0.04119937322383693,0.040615841596855384,0.014918351802247543,0.0804736538702423,0.23542349661152828,0.28183255558194964,0.3429102360173165,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0017018298653886932,0.001469790189212672,0.01693631026734077,0.004477310979233318,0.016412984222101024,0.28183255558194964,0.8475091676588055,0.9,0.001,0.008009207850179001,0.015649681920804848,0.0049689621451534105,0.008850588755286326,0.004477310979233318,0.02442756271899571,0.02442756271899571,0.013769191445738183,0.012906199773953242,0.011514068143546163,0.13392167343217998,0.9
naive-bayes_0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.1672082157928415,0.45356146921204654,0.04238295395778813,0.19408880113763094,0.1258513966643282,0.07335726177224677,0.06661083381202348,0.09031744987884782,0.16526442695821086,0.04928988699694847,0.08677329524807331,0.11831874891836369,0.11679250063780877,0.04863588505237426,0.20291534261296518,0.4779218070574477,0.5290852352961037,0.5898756883855366,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.006885725585252578,0.006007792791841715,0.054514386243334934,0.016674654336855332,0.05294916411899653,0.5290852352961037,0.9,0.9,0.003378373403956858,0.02802040227176472,0.050681261239051145,0.018313686239223692,0.030695899338254784,0.016674654336855332,0.07636913954616231,0.07636913954616231,0.04544076891109572,0.04298346512463436,0.03890407946862895,0.3123513866068973,0.9
naive-bayes_0.55,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.10498671170759066,0.3206209814395218,0.023716829610815338,0.12499616723813811,0.07943683855686912,0.04238295395778835,0.03834232436833551,0.054514386241432566,0.1035725628039822,0.02802040227176472,0.05068126123907035,0.07237018050007271,0.07138828544118048,0.027596460581693294,0.12899796451304468,0.34631826928994447,0.4098402057639241,0.4779218070574477,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0034992819514263473,0.003035773585429391,0.03116388038343887,0.008850588755286326,0.030236723248803554,0.4098402057639241,0.9,0.9,0.0016710184544351803,0.015401885017993666,0.028888517169614714,0.009768811339244232,0.01693631026734077,0.008850588755286326,0.044199947955756325,0.044199947955756325,0.025554684670768824,0.024072085940286758,0.02168143024598268,0.21199604079649725,0.9
naive-bayes_0.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.3672201923656411,0.679613356257651,0.11984736440288701,0.416828355330214,0.29568962862619985,0.18556798410100217,0.17307489595240655,0.22596992613604927,0.36369310176120206,0.13392167343217998,0.21430219215133017,0.2763348653988561,0.27359511131174064,0.13225608279327783,0.43056415921788105,0.7027740229468817,0.7548765832801431,0.8156671854621664,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.024072085940286758,0.02135701682430291,0.14635156419437,0.05294916411899653,0.1426686142677187,0.7548765832801431,0.9,0.9,0.012697435915652533,0.08466043270412493,0.1373423700297468,0.05776605673899693,0.08908570102222191,0.05294916411899653,0.19192728495328204,0.19192728495328204,0.12500275308167386,0.12138183947203063,0.11079637840554712,0.5580350434226999,0.9
naive-bayes_0.65,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.21661560079312914,0.5232983591389571,0.059452817390237556,0.249606823389671,0.16915578579100454,0.09806725124067406,0.08908570102224522,0.12446809895978572,0.21430219215132817,0.06944906199928513,0.11679250063780877,0.1557047944112533,0.15383094615166526,0.06849428281915848,0.260106689561329,0.5464560563928971,0.5985604910246749,0.6593513958301016,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.010261549758425081,0.008996091397942663,0.07636913954616231,0.024072085940286758,0.07435557290757344,0.5985604910246749,0.9,0.9,0.005146207285119497,0.04003792983306953,0.07138828544118081,0.026355747443421507,0.04358861803923575,0.024072085940286758,0.1021727571774208,0.1021727571774208,0.06385138570287763,0.060312665779901686,0.054514386243334934,0.3921270651517259,0.9
naive-bayes_0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.2708726425171618,0.5869811312258642,0.0804736538702423,0.30957836575145137,0.21430219215133017,0.12741082606367948,0.11984736440288712,0.1594947615926967,0.2681606537372203,0.09031744987884782,0.1501234630706344,0.1984648578500422,0.1962691060484345,0.08908570102222191,0.3206209814395218,0.6101403175438271,0.6622439417240288,0.7230333921333201,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.014683402129721634,0.012906199773953242,0.09941685750108276,0.03358954058567676,0.09673255932868763,0.6622439417240288,0.9,0.9,0.007490229944146942,0.054514386241432566,0.092828871560524,0.036702597186430985,0.05945281739060071,0.03358954058567676,0.13225608279327683,0.13225608279327683,0.08571621383207095,0.0815155433220256,0.07435557290755368,0.46601098001575025,0.9
naive-bayes_0.75,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.1614065307358893,0.4438846488403704,0.040615841596855384,0.18766667765088685,0.12446809895976274,0.07041498095327003,0.06385138570283477,0.08750282057816205,0.1594947615926967,0.047344748159921624,0.08360700441192181,0.11377430034028979,0.11227833901404038,0.046705888951184105,0.1962691060484345,0.4690392834201159,0.5204024095145174,0.5811896245280572,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.006542119780502675,0.005705971946553645,0.052183744642389285,0.015901368232272062,0.05068126123907035,0.5204024095145174,0.9,0.9,0.003202197430148712,0.026761942839083064,0.04863588505242633,0.017478543562169158,0.029330657716830077,0.015901368232272062,0.0733572617731133,0.0733572617731133,0.04358861803923575,0.04119937322383693,0.03724329803259119,0.30402972650285276,0.9
naive-bayes_0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.36017949164467067,0.6738225929205521,0.11679250063777924,0.4098402057639241,0.29013393619385197,0.18143813759280458,0.1691557857910052,0.22127669646277393,0.3566834338476552,0.1306138101943739,0.20970549140722183,0.2708726425171618,0.2681606537372203,0.12899796451304468,0.42374012879765555,0.6969828928810836,0.7490864867925802,0.8098761680461886,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.023369244355783025,0.02071841816319031,0.1426686142677187,0.05142773747041207,0.13909056276805787,0.7490864867925802,0.9,0.9,0.012290972381034382,0.08255913602742226,0.13392167343217998,0.05611873276948098,0.08750282057816205,0.05142773747041207,0.18766667765088685,0.18766667765088685,0.12446809895976274,0.11831874891836369,0.10786347663048201,0.5522455285075569,0.9
naive-bayes_0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.20742771188476805,0.511719387685075,0.05611873276950763,0.23943087846473377,0.1614065307358904,0.092828871560524,0.08677329524807331,0.11831874891836369,0.20516170668143952,0.06568218386518587,0.11079637840552714,0.14822850455918934,0.14635156419437,0.06476372022465304,0.24960682338966989,0.5348750747550295,0.5869811312258649,0.6477725814122423,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.009609377608800096,0.008422259901232909,0.07237018050005262,0.022682901899024666,0.07041498095327003,0.5869811312258649,0.9,0.9,0.004800310463479396,0.037788812032207075,0.06754860992196388,0.02479060714087189,0.04119937322383693,0.022682901899024666,0.09673255932868763,0.09673255932868763,0.060312665780230756,0.05693520984233402,0.05142773747040352,0.3778665210231449,0.9
naive-bayes_0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.21661560079312914,0.5232983591389571,0.059452817390237556,0.249606823389671,0.16915578579100454,0.09806725124067406,0.08908570102224522,0.12446809895978572,0.21430219215132817,0.06944906199928513,0.11679250063780877,0.1557047944112533,0.15383094615166526,0.06849428281915848,0.260106689561329,0.5464560563928971,0.5985604910246749,0.6593513958301016,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.010261549758425081,0.008996091397942663,0.07636913954616231,0.024072085940286758,0.07435557290757344,0.5985604910246749,0.9,0.9,0.005146207285119497,0.04003792983306953,0.07138828544118081,0.026355747443421507,0.04358861803923575,0.024072085940286758,0.1021727571774208,0.1021727571774208,0.06385138570287763,0.060312665779901686,0.054514386243334934,0.3921270651517259,0.9
naive-bayes_1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.15196955567272363,0.4271620403486517,0.037788812032207186,0.1773941278144816,0.11679250063777924,0.06568218386518587,0.05945281739060071,0.08360700441192181,0.1501234630706344,0.044199947955756325,0.07840963159949133,0.10641970847340487,0.10498671170759066,0.04358861803923575,0.18556798410100217,0.4535614692120473,0.5059274540110726,0.566718098010664,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.006007792791841493,0.005233878447095663,0.04863588505242633,0.014683402129721634,0.047344748159921624,0.5059274540110726,0.9,0.9,0.0029315996864595073,0.02479060714087189,0.0454407689111358,0.016154696966338755,0.02717590498062883,0.014683402129721634,0.06849428281919745,0.06849428281919745,0.040615841596855384,0.03834232436833551,0.03460314034426071,0.29013393619385197,0.9
naive-bayes_0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.23943087846473377,0.5522455285075567,0.06849428281915848,0.27633486539885754,0.18766667765088685,0.11227833901404038,0.1021727571774208,0.1373423700297588,0.2374991867000451,0.07943683855687056,0.12899796451315315,0.17499795066685953,0.17307489595240722,0.07840963159947634,0.2873614465117279,0.5754030609295482,0.6275093224724624,0.6882981941448303,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.012093610774847718,0.010605567957723383,0.08677329524807331,0.02802040227176472,0.08466043270413326,0.6275093224724624,0.9,0.9,0.006111654162267333,0.04607008438449489,0.0815155433220256,0.030695899338254784,0.049950666030791346,0.02802040227176472,0.11679250063780877,0.11679250063780877,0.07335726177224677,0.06944906199928513,0.06295433618071733,0.4271620403486506,0.9
perceptron_0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.6622439417240288,0.9,0.33285395197599754,0.7027740229468817,0.5956663500007413,0.4660109800157479,0.44388464884037193,0.5175079709014758,0.6593513958301016,0.37075800810253257,0.5030321131360407,0.5754030609295482,0.5725077510002914,0.3672201923656401,0.7143491480131696,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.092828871560524,0.08571621383207462,0.39568900167239085,0.17739412781448238,0.38856255776468385,0.9,0.9,0.9,0.054514386243334934,0.25482155890532765,0.3778665210231449,0.18978794689138934,0.2708726425171618,0.17739412781448238,0.47499517970568816,0.47499517970568816,0.3497511331652897,0.3361787015029216,0.31511359407198747,0.8388255327186979,0.9
